,,,,,,,,,,,,,,,,
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0044-46,04-028,CHIMALTENANGO,CHIMALTENANGO,"ESCUELA NORMAL RURAL NO. 1 ""PEDRO MOLINA""",FINCA LA ALAMEDA,78391365,MARILENA HERNANDEZ CABRERA,,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0051-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INST. PRIVADO MIXTO DE EDUC. DIVERSIFICADA COLEGIO 'SANTA ANA',2A. CALLE 5-52 ZONA 4,78391533,JULIO ANTONIO MUTZUTZ CATU,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0053-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""",4A. AVENIDA 2-95 ZONA 3,78393574,JULIO ANTONIO MUTZUTZ CATU,IRMA ARACELI MENDOZA ALCÚ VIUDA DE SAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0055-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO AMÉRICA LATINA,6A. AVENIDA 3-48 ZONA 5,77282600,JULIO ANTONIO MUTZUTZ CATU,AXEL EDUARDO ESTRADA CHAVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0057-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO EVANGELICO MIXTO AMERICA,1A CALLE 7-160 ZONA 4,78391123,SANDRA NINETH LOPEZ GUTIERREZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0058-46,04-027,CHIMALTENANGO,CHIMALTENANGO,TECNOLOGICO PREUNIVERSITARIO,3 CALLE 7-54 ZONA 3,78394519,JULIO ANTONIO MUTZUTZ CATU,EDNA YESENIA GONZÁLEZ ROCA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0059-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO TECNICO INDUSTRIAL,"9A. CALLE DE LOS CLAVELES 3-76 ZONA 1, QUINTAS LOS APOSENTOS",78396913,JULIO ANTONIO MUTZUTZ CATU,ASUNCIÓN BOLIVIA MATZER CUXIL DE CANÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0061-46,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO TECNOLOGICO CHIMALTECO,8A. CALLE Y 6A. AVENIDA 5-20 ZONA 1 QUINTAS LOS APOSENTOS,78391288-78392217,SANDRA NINETH LOPEZ GUTIERREZ,DOMINGO JIATZ SOLAN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0062-46,04-003,CHIMALTENANGO,CHIMALTENANGO,ESCUELA NACIONAL DE CIENCIAS COMERCIALES 'LEONIDAS MENCOS AVILA',1A. CALLE 9-30 ZONA 3,78396809,AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0063-46,04-003,CHIMALTENANGO,CHIMALTENANGO,"ESCUELA DE CIENCIAS COMERCIALES POR COOPERATIVA ""PROF. MIGUEL ANGEL FRANCISCO JUÁREZ PÉREZ""",1A CALLE 9-30 ZONA 3,78396762,AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES,,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),CHIMALTENANGO
