,,,,,,,,,,,,,,,,
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
02-01-0027-46,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO TECNICO INDUSTRIAL MIXTO GUASTATOYA,BARRIO EL CALVARIO,79450881,JAIME RODOLFO CRUZ CASTILLO,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO
02-01-0028-46,02-015,EL PROGRESO,GUASTATOYA,COLEGIO DE CIENCIAS COMERCIALES EL PROGRESO,BARRIO EL PORVENIR,79451265,MYNOR FRANCISCO GARCIA,DANIEL LOPEZ SOLIS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0031-46,02-015,EL PROGRESO,GUASTATOYA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO EL PORVENIR,,MYNOR FRANCISCO GARCIA,---,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0038-46,02-015,EL PROGRESO,GUASTATOYA,INSTITUTO DE EDUCACION MEDIA POR MADUREZ,"COLONIA NUEVA VIDA, BARRIO EL PORVENIR",7945177,MYNOR FRANCISCO GARCIA,MARCO AURELIO MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0044-46,02-004,EL PROGRESO,GUASTATOYA,INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ CAMINO DEL SABER,BARRIO LAS JOYAS,56962830,GUELCER AMADO FLORES GUEVARA,MARIA ELENA LEMUS MURALLES DE AREVALO,DIVERSIFICADO,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0045-46,02-015,EL PROGRESO,GUASTATOYA,INSTITUTO DE EDUCACI?N MEDIA POR MADUREZ,BARRIO EL PORVENIR,56719955,MYNOR FRANCISCO GARCIA,ENNER DAMASO HERNANDEZ GARRIDO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0046-46,02-015,EL PROGRESO,GUASTATOYA,COLEGIO DE APLICACIONES INTEGRADAS GUASTATOYA,BARRIO EL PORVENIR,79450840,MYNOR FRANCISCO GARCIA,BRENDA VALIENTE,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,SABATINO,EL PROGRESO
02-01-0049-46,02-021,EL PROGRESO,GUASTATOYA,CEEX MUNICIPALIDAD GUASTATOYA,ALDEA SANTA RITA,41398634,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,MARVIN RAMOS ORELLANA,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0054-46,02-015,EL PROGRESO,GUASTATOYA,COLEGIO EVANGELICO TORRE FUERTE,"COLONIA HICHOS, BARRIO EL PORVENIR",79451993,MYNOR FRANCISCO GARCIA,LILIAN IZAGUIRRE,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0057-46,02-015,EL PROGRESO,GUASTATOYA,COLEGIO HIGA,COLONIA HICHOS,42876685,MYNOR FRANCISCO GARCIA,ERIKA OLIVA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0058-46,02-015,EL PROGRESO,GUASTATOYA,COLEGIO HIGA,COLONIA HICHOS,52942479,MYNOR FRANCISCO GARCIA,ERIKA OLIVA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0059-46,02-015,EL PROGRESO,GUASTATOYA,COLEGIO HIGA,COLONIA HIGA,52942795,MYNOR FRANCISCO GARCIA,ERIKA OLIVA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0252-46,02-015,EL PROGRESO,GUASTATOYA,COLEGIO DE CIENCIAS COMERCIALES EL PROGRESO,BARRIO EL PORVENIR,79451265,MYNOR FRANCISCO GARCIA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
