,,,,,,,,,,,,,,,,
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
13-01-0065-46,13-004,HUEHUETENANGO,HUEHUETENANGO,INSTITUTO NORMAL MIXTO ALEJANDRO CORDOVA,6A AVE. A 10-59 ZONA 1,77641157,CLARA ARMIDA MORALES CASTILLO,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0066-46,13-050,HUEHUETENANGO,HUEHUETENANGO,COLEGIO MIXTO ASTURIAS,2A CALLE 7-32 ZONA 1,77642242,LILIAN FLORIDALMA MOLINA MU•OZ,WALTER EDUARDO MARTINEZ GOMEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0067-46,13-004,HUEHUETENANGO,HUEHUETENANGO,COLEGIO MIXTO ASTURIAS,2A CALLE 7-32 INTERIO ZONA 1,77642242,CLARA ARMIDA MORALES CASTILLO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0068-46,13-050,HUEHUETENANGO,HUEHUETENANGO,COLEGIO DE LA SALLE,10A AVE. 10-00 ZONA 1,77641186,LILIAN FLORIDALMA MOLINA MU•OZ,FRANCISCO JAVIER ALVARDO VILLATORO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0069-46,13-050,HUEHUETENANGO,HUEHUETENANGO,COLEGIO EVANGELICO MIXTO LA AURORA,5A. CALLE 5-47 ZONA 1,77641328,LILIAN FLORIDALMA MOLINA MU•OZ,ANGEL ELEAZAR B?MACA CHAC?N,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0070-46,,HUEHUETENANGO,HUEHUETENANGO,COLEGIO 'DE LA SALLE',10 AVE 10-00 ZONA 1,77641809,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0071-46,13-004,HUEHUETENANGO,HUEHUETENANGO,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE CIENCIAS COMERCIALES,4A AVE. 1-30 ZONA 1,77641343,CLARA ARMIDA MORALES CASTILLO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0072-46,13-004,HUEHUETENANGO,HUEHUETENANGO,LICEO Y ACADEMIA ADVENTISTA DIEGUEZ OLAVERRI,EL TERRERO ZONA 4,77641463,CLARA ARMIDA MORALES CASTILLO,,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0075-46,13-004,HUEHUETENANGO,HUEHUETENANGO,LICEO PRIVADO DE CIENCIAS COMERCIALES,5TA. AV. 7-112 ZONA 1,77640126,CLARA ARMIDA MORALES CASTILLO,OLIVER BOANERGES RECINOS RECINOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0079-46,13-050,HUEHUETENANGO,HUEHUETENANGO,"LICEO EVANGELICO ""EL ALBA""",6A AVENIDA 9-17 ZONA 1,77682352,LILIAN FLORIDALMA MOLINA MU•OZ,JOSE RAUL MARTINEZ XUTUC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0112-46,13-050,HUEHUETENANGO,HUEHUETENANGO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,CORRAL CHIQUITO ZONA OCHO,40124127,LILIAN FLORIDALMA MOLINA MU•OZ,HUGO RUBEN G?MEZ G?MEZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0143-46,13-004,HUEHUETENANGO,HUEHUETENANGO,LICEO PREUNIVERSITARIO DE INFORMATICA,"4A. AVENIDA 1-30, ZONA 1",77648784,CLARA ARMIDA MORALES CASTILLO,MIGDALIA AZUCELY LOPEZ VILLATORO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0145-46,13-004,HUEHUETENANGO,HUEHUETENANGO,LICEO PREUNIVERSITARIO DE INFORMATICA,4 AVENIDA 1-30 ZONA 1,77648784,CLARA ARMIDA MORALES CASTILLO,MIGDALIA AZUCELY LOPEZ VILLATORO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-01-0146-46,13-050,HUEHUETENANGO,HUEHUETENANGO,LICEO PRIVADO MIXTO MINERVA,"5A. CALLE 3-28 ZONA 2, BARRIO MINERVA",77681704,LILIAN FLORIDALMA MOLINA MU•OZ,OSCAR GIOVANNI MIRANDA MARTINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
