CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
14-01-0077-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO ADOLFO V HALL,"KILOMETRO 161 ENTRADA A SANTA CRUZ DEL QUICHE, ANTIGUA ZONA MILITAR",77551548,JOSE OSCAR TIPAZ VELASQUEZ,CORONEL DE INFNTERIA DEM. MARVIN JUAN CARLOS GARĆ PONCE,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0079-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA UTATLAN,"4A CALLE Y 6A-12, ZONA 5",77551551,GONZALO VENTURA LUX,ELVA AURORA UR͚AR GMEZ DE MEJ́,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHɼ/td>
14-01-0080-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO MIXTO 'QUICHE',2AV. 6-27 ZONA 5,77551705,GONZALO VENTURA LUX,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0085-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77551966,JOSE OSCAR TIPAZ VELASQUEZ,ASTRID MIRTALA VALDEZ GOMEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0090-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO MIXTO BILINGUE INTERCULTURAL ""QIJ""",11A. CALLE 06-03 ZONA 1,77550476,GONZALO VENTURA LUX,TOMAS ALVAREZ ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,FIN DE SEMANA,QUICHɼ/td>
14-01-0108-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO TECNICO AVANZADO,4A. AVENIDA 20-174 ZONA 4,77554695,GONZALO VENTURA LUX,JACQUELINE ARGENTINA SOLARES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0110-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO TECNOLOGICO DE OCCIDENTE LA PREPARATORIA,9A. AVENIDA ENTRE 4A. Y 5A. CALLE ZONA 2,77563645,GONZALO VENTURA LUX,EBERTH ANTULIO RODAS ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHɼ/td>
14-01-0112-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"20 CALLE FINAL ZONA 4, COLONIA LOS CELAJES",77554630,JOSE OSCAR TIPAZ VELASQUEZ,TIMOTEA VIVIANA REYNOSO TAVICO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0115-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77656620,JOSE OSCAR TIPAZ VELASQUEZ,-----,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0163-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO EVANGELICO METODISTA ""JOHN WESLEY""",6TA. AVENIDA 00-002 DE LA ZONA 1,77563692,GONZALO VENTURA LUX,FAUSTO GILBERTO NATARENO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0166-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO MIXTO QUICHE,2A. AVENIDA 6-27 ZONA 5,77551705,GONZALO VENTURA LUX,DAVID ARTURO MOGOLLON AREVALO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0167-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO MULTIEDUCATIVO LA REFORMA,"3A. AVENIDA 4-35, ZONA 1",77563633,GONZALO VENTURA LUX,AVELINO ARMANDO LEON ZACARIAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHɼ/td>
14-01-0176-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,2A. AVENIDA 9-58 ZONA 1,77563753,GONZALO VENTURA LUX,OSCAR MANUEL LOPEZ SOLORZANO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0178-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,"6A. AVENIDA 0-48, ZONA 1",77553570,GONZALO VENTURA LUX,ROSA AMEĹ D́Z COTA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0180-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,6A. AVENIDA 0-48 ZONA 1,77553570,GONZALO VENTURA LUX,MAŔ DE LOS ANGELES BATEN URIZAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHɼ/td>
14-01-0181-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO PRIVADO MIXTO CIENCIA Y CULTURA,"1A. CALLE 13-41, ZONA 2",77563487,GONZALO VENTURA LUX,ELMER ROLANDO PACHECO NORIEGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHɼ/td>
14-01-0183-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO CIENTIFICO INTEGRAL EINSTEIN,"14 AVENIDA 2-38, ZONA 3",49854279,GONZALO VENTURA LUX,CARLOS ENRIQUE CHAYANNY DELGADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0186-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO MIXTO BILINGUE INTERCULTURAL Q IJ,11 CALLE 6-03 ZONA 1,77550476,GONZALO VENTURA LUX,TOMAS ALVAREZ ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHɼ/td>
14-01-0189-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO MIXTO BILINGUE INTERCULTURAL Q IJ,11 CALLE 6-03 ZONA 1,77550476,GONZALO VENTURA LUX,TOMAS ALVAREZ ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,A DISTANCIA,QUICHɼ/td>
14-01-0193-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO TECNOLOGICO DE OCCIDENTE LA PREPARATORIA,"4A. CALLE Y 9A. AVENIDA, ZONA 2",77563645,GONZALO VENTURA LUX,DINA GUADALUPE VILLATORO LOARCA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHɼ/td>
14-01-0195-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO NUESTRA SEяRA DEL ROSARIO,SANTA CRUZ DEL QUICHE,77552429,GONZALO VENTURA LUX,AGUSTINA IRMA CAMACHO REYNA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0199-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO NUESTRA SEяRA DEL ROSARIO,SANTA CRUZ DEL QUICHE,77552429,GONZALO VENTURA LUX,AGUSTINA IRMA CAMACHO REYNA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHɼ/td>
14-01-0210-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO EJECUTIVO PRE-UNIVERSITARIO EN COMPUTACIӎ ""CLASSE""",0 AV. 8-24 A ZONA 6,77563714,GONZALO VENTURA LUX,ERVIN WALDERMAR VELASQUEZ BATEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHɼ/td>
14-01-0227-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"LICEO TECNOLӇICO DE OCCIDENTE LA ""PREPARATORIA""",9A. AVENIDA 4-65 ZONA 2,77563645,GONZALO VENTURA LUX,DINA GUADALUPE VILLATOTO LOARCA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHɼ/td>
