,,,,,,,,,,,,,,,,
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
12-01-0044-46,,SAN MARCOS,SAN MARCOS,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA ADSCRITO A CENTRO UNIVERSITARIO USAC JN,ZONA 2 CANTON SAN RAMON,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-01-0048-46,12-001,SAN MARCOS,SAN MARCOS,"INSTITUTO NORMAL MIXTO DE OCCIDENTE ""JUSTO RUFINO BARRIOS""",10A. AVENIDA 8-27 ZONA 3,77601385,ENIO RELMAN MALDONADO SOLIS,NELSON DE JESUS BAUTISTA LOPEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0049-46,12-001,SAN MARCOS,SAN MARCOS,INSTITUTO ADOLFO V. HALL DE OCCIDENTE,3A. AVENIDA 11-154 ZONA 1,77601024,ENIO RELMAN MALDONADO SOLIS,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0050-46,12-063,SAN MARCOS,SAN MARCOS,COLEGIO 'SAN MARCOS',6A. AVENIDA 4-92 ZONA 2,77604147,HELIUV EDILZAR VASQUEZ NAVARRO,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0051-46,12-001,SAN MARCOS,SAN MARCOS,COLEGIO PRIVADO MIXTO BACHILLERATO POR MADUREZ,8A. AVENIDA 4-21 ZONA 2,77601360,ENIO RELMAN MALDONADO SOLIS,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0052-46,,SAN MARCOS,SAN MARCOS,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'BACHILLERATO POR MADUREZ' JN,8A. AVENIDA 4-21 ZONA 2,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-01-0053-46,12-100,SAN MARCOS,SAN MARCOS,COLEGIO PARTICULAR MIXTO SAGRADO CORAZON,10A. AVENIDA 9-71 ZONA 3,77601164,JORGE EBERTO SOLORZANO SANCHEZ,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0054-46,12-100,SAN MARCOS,SAN MARCOS,"COLEGIO ""SAGRADO CORAZON""",10A. AVENIDA 9-71 ZONA 3,53854931,JORGE EBERTO SOLORZANO SANCHEZ,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0078-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PREUNIVERSITARIO ""GALILEO""","12 AVENIDA 3-33 ZONA 4, CANTON SANTO DOMINGO",77679743,HELIUV EDILZAR VASQUEZ NAVARRO,EDGAR ANTONIO SANDOVAL ANGEL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0082-46,12-100,SAN MARCOS,SAN MARCOS,"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""",8 AV. 4-21 ZONA 2,77601549,JORGE EBERTO SOLORZANO SANCHEZ,EDGAR ROLANDO SIGUENZA RODRIGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0085-46,12-063,SAN MARCOS,SAN MARCOS,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA LAS LAGUNAS,34589385,HELIUV EDILZAR VASQUEZ NAVARRO,---,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0088-46,12-001,SAN MARCOS,SAN MARCOS,INSTITUTO NOMRAL MIXTO DE OCCIDENTE JUSTO,10A. AVENIDA 8-27 ZONA 3,77601385,ENIO RELMAN MALDONADO SOLIS,---,DIVERSIFICADO,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0089-46,12-100,SAN MARCOS,SAN MARCOS,"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""",8 AV. 4-21 ZONA 2,77601549,JORGE EBERTO SOLORZANO SANCHEZ,JULIO RENE WUG SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0093-46,12-063,SAN MARCOS,SAN MARCOS,INSTITUTO TECNOLOGICO PARTICULAR SAN MARCOS,CABECERA MUNICIPAL,77601015,HELIUV EDILZAR VASQUEZ NAVARRO,MANUEL EDUARDO CUSTODIO ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0096-46,12-100,SAN MARCOS,SAN MARCOS,"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""",8 AV. 4-21 ZONA 2,77601549,JORGE EBERTO SOLORZANO SANCHEZ,JULIO RENE WUG SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0100-46,12-001,SAN MARCOS,SAN MARCOS,INSTITUTO ADOLFO V. HALL DE OCCIDENTE,3AV. 11-154 ZONA 1,77601024,ENIO RELMAN MALDONADO SOLIS,RAUL ANIBAL OLIVA CERMEя,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0105-46,12-100,SAN MARCOS,SAN MARCOS,"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""",8 AV. 4-21 ZONA 2,77601549,JORGE EBERTO SOLORZANO SANCHEZ,LISETH MARICELA BARRIOS DE LEON DE WUG,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0108-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO CIENTIFICO INTEGRADO ""ALBERT EINSTEIN""","1RA. CALLE ENTRE 14 Y 15 AVENIDA, CALLEJON JARDINES DE VENECIA 1-89 ZONA 5",42089437,HELIUV EDILZAR VASQUEZ NAVARRO,ELMER ANTULIO ESCOBAR COTTON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0114-46,12-001,SAN MARCOS,SAN MARCOS,COLEGIO DE ESTUDIOS TECNICOS ESPECIALIZADOS EN COMPUTACION CETESC,ALDEA SAN SEBASTIAN,57784639,ENIO RELMAN MALDONADO SOLIS,REYNA URBELINDA ANGEL DE LEON,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0115-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PRIVADO URBANO MIXTO ""AMIGOS""",7A. CALLE 12-99 ZONA 4,77603740,HELIUV EDILZAR VASQUEZ NAVARRO,MARIA ESTELA SANTOS ESCALANTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0116-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PRIVADO URBANO MIXTO ""AMIGOS""",7A. CALLE 12-99 ZONA 4 SAN MARCOS,77603740,HELIUV EDILZAR VASQUEZ NAVARRO,EDIT ORFA VASQUEZ OROZCO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0119-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PARTICULAR MIXTO ""SAN ANTONIO""",ALDEA SAN ANTONIO SERCHIL,45960556,HELIUV EDILZAR VASQUEZ NAVARRO,JOSE LUIS RODRIGUEZ LOPEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0120-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PREUNIVERSITARIO ""GALILEO""",12 AVENIDA 3-33 ZONA 4 CANTON SANTO DOMINGO,77679743,HELIUV EDILZAR VASQUEZ NAVARRO,JORGE GUILLERMO OROZCO BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0131-46,12-001,SAN MARCOS,SAN MARCOS,COLEGIO DE ESTUDIOS TECNICOS ESPECIALIZADOS EN COMPUTACION CETESC,ALDEA SAN SEBASTIAN,57784639,ENIO RELMAN MALDONADO SOLIS,REYNA URBELINDA ANGEL DE LEON,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0132-46,12-100,SAN MARCOS,SAN MARCOS,"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""",8 AV. 4-21 ZONA 2,77601549,JORGE EBERTO SOLORZANO SANCHEZ,EDGAR ROLANDO SIGUENZA ROD͇UEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0133-46,12-100,SAN MARCOS,SAN MARCOS,ESCUELA DE CIENCIAS Y LETRAS DE SAN MARCOS,ALDEA LAS LAGUNAS,49713703,JORGE EBERTO SOLORZANO SANCHEZ,EVA MAŔ DE LEӎ CABALLEROS DE MEJ́,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0139-46,12-063,SAN MARCOS,SAN MARCOS,"ESCUELA CRISTIANA ""PALABRA EN ACCIӎ""","7A. AVENIDA ""A"" 12-10 ZONA 1",77604895,HELIUV EDILZAR VASQUEZ NAVARRO,MARCO PABLO SIERRA DAVID,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0143-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PREUNIVERSITARIO ""GALILEO""",12 AVENIDA 3-33 ZONA 4 CANTON SANTO DOMINGO,77679743,HELIUV EDILZAR VASQUEZ NAVARRO,JORGE GUILLERMO OROZCO BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0144-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PARTICULAR MIXTO ""JERUSALEM""",5TA. CALLE 9-38 ZONA 4,77609611,HELIUV EDILZAR VASQUEZ NAVARRO,DELIA MAEGLI DE LEӎ OVALLE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0145-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO ""SAN MARCOS""",6A. AVE. 4-92 ZONA 2,77604147,HELIUV EDILZAR VASQUEZ NAVARRO,DARY JUDITH SIS LӐEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0146-46,12-063,SAN MARCOS,SAN MARCOS,COLEGIO LA ASUNCIӎ,SAN MARCOS,77605316,HELIUV EDILZAR VASQUEZ NAVARRO,ROSALINA TEODORA BAQUIAX VSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0149-46,12-001,SAN MARCOS,SAN MARCOS,ESCUELA TɃNICA DE COMPUTACIӎ,15AV. 1-177 ZONA 5,77679414,ENIO RELMAN MALDONADO SOLIS,ISA͠MANASɓ FUENTES JUREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0151-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PRIVADO URBANO MIXTO ""AMIGOS""",7A. CALLE 12-99 ZONA 4,77603740,HELIUV EDILZAR VASQUEZ NAVARRO,EDITH ORFA VSQUEZ OROZCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0153-46,12-001,SAN MARCOS,SAN MARCOS,"COLEGIO DE ESTUDIOS TECNICOS ESPECIALIZADOS EN COMPUTACIӎ ""CETESC""",ALDEA SAN SEBASTIAN,57784639,ENIO RELMAN MALDONADO SOLIS,HUBERLINDA REYNA ANGEL DE LEӎ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-1048-46,12-001,SAN MARCOS,SAN MARCOS,ESCUELA TECNICA DE COMPUTACION,"CALZADA REVOLUCION DEL 71, 2-41 ZONA 1",77679414,ENIO RELMAN MALDONADO SOLIS,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-1203-46,,SAN MARCOS,SAN MARCOS,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'ESCUELA TECNICA DE COMPUTACION',"CALZADA REVOLUCION DEL 71, 2-41 ZONA 1",77602153,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
