"","CODIGO","DISTRITO","DEPARTAMENTO","MUNICIPIO","ESTABLECIMIENTO","DIRECCION","TELEFONO","SUPERVISOR","DIRECTOR","NIVEL","SECTOR","AREA","STATUS","MODALIDAD","JORNADA","PLAN","DEPARTAMENTAL","CODIGO_DEPARTAMENTO"
"2","16-01-0138-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO COBAN","KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8","77945104","GLENDA DINORA GARCIA DELGADO","JULIO CESAR VILLELA AMADO","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"3","16-01-0139-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO PARTICULAR MIXTO VERAPAZ","KM 209.5 ENTRADA A LA CIUDAD","77367402","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"4","16-01-0140-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO LA INMACULADA","3A AVE 2-25 ZONA 3","49532425","GLENDA DINORA GARCIA DELGADO","MERCEDES QUIROS QUIROS","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"5","16-01-0141-46","16-005","ALTA VERAPAZ","COBAN","ESCUELA NACIONAL DE CIENCIAS COMERCIALES","2A CALLE 11-10 ZONA 2","79514215","MARITZA SOEHY MORALES SURUY",NA,"DIVERSIFICADO","OFICIAL","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"6","16-01-0142-46","16-005","ALTA VERAPAZ","COBAN","INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE'","3A AVE 6-23 ZONA 11","79521468","MARITZA SOEHY MORALES SURUY",NA,"DIVERSIFICADO","OFICIAL","URBANA","1","BILINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"7","16-01-0143-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO PARTICULAR MIXTO IMPERIAL","5A. CALLE 1-9 ZONA 3","57101061","GLENDA DINORA GARCIA DELGADO","HECOTR WALDEMAR TOT COY","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"8","16-01-0145-46","16-006","ALTA VERAPAZ","COBAN","INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N","3 AV. 5-28 ZONA 4","54641454","ARMANDO AUDILIO POP CUCUL","LUIS FERNANDO SOTO","DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"9","16-01-0147-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO LA INMACULADA","7A. CALLE 11-09 ZONA 6 COBAN","49532425","GLENDA DINORA GARCIA DELGADO","MERCEDES QUIROS QUIROS","DIVERSIFICADO","PRIVADO","RURAL",NA,"MONOLINGUE","DOBLE","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"10","16-01-0150-46","16-006","ALTA VERAPAZ","COBAN","INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE -IIAV-","3A. AVAENIDA 1-23 ZONA 4",NA,"ARMANDO AUDILIO POP CUCUL","GUILLERMO ESTUARDO VASQUEZ MORALES","DIVERSIFICADO","PRIVADO","URBANA",NA,"BILINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"11","16-01-0155-46","16-031","ALTA VERAPAZ","COBAN","LICEO MODERNO LATINO","11 AVENIDA 5-17 ZONA 4","79522555","GLENDA DINORA GARCIA DELGADO","JORGE BENEDICTO COC POP","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"12","16-01-0428-46","16-005","ALTA VERAPAZ","COBAN","INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA","BARRIO CANTON LAS CASAS, DIAGONAL 8 8-05 ZONA 8","79945251","MARITZA SOEHY MORALES SURUY","GEHU ABRAHAM CAAL MAAS","DIVERSIFICADO","OFICIAL","RURAL","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
